,time,close,coin_type
570,2022-01-16 06:00:00,0.1819,DOGE
571,2022-01-16 07:00:00,0.1815,DOGE
572,2022-01-16 08:00:00,0.1822,DOGE
573,2022-01-16 09:00:00,0.1816,DOGE
574,2022-01-16 10:00:00,0.1798,DOGE
575,2022-01-16 11:00:00,0.1788,DOGE
576,2022-01-16 12:00:00,0.1782,DOGE
577,2022-01-16 13:00:00,0.1779,DOGE
578,2022-01-16 14:00:00,0.1784,DOGE
579,2022-01-16 15:00:00,0.1785,DOGE
580,2022-01-16 16:00:00,0.1785,DOGE
581,2022-01-16 17:00:00,0.1765,DOGE
582,2022-01-16 18:00:00,0.1776,DOGE
583,2022-01-16 19:00:00,0.1755,DOGE
584,2022-01-16 20:00:00,0.1764,DOGE
585,2022-01-16 21:00:00,0.1772,DOGE
586,2022-01-16 22:00:00,0.1786,DOGE
587,2022-01-16 23:00:00,0.1767,DOGE
